date;code;sick;healed;died
2021-03-31;MOW;1026740;944738;16656
2021-03-30;MOW;1025454;943201;16603
2021-03-29;MOW;1024163;942036;16547
2021-03-28;MOW;1022551;941192;16498
2021-03-27;MOW;1020673;940041;16446
2021-03-26;MOW;1019122;938673;16392
2021-03-25;MOW;1017309;937122;16337
2021-03-24;MOW;1015522;935400;16288
2021-03-23;MOW;1014091;933807;16235
2021-03-22;MOW;1013049;932428;16184
2021-03-21;MOW;1011463;931296;16128
2021-03-20;MOW;1009952;929925;16078
2021-03-19;MOW;1008224;928156;16024
2021-03-18;MOW;1006415;926254;15973
2021-03-17;MOW;1004481;924494;15925
2021-03-16;MOW;1003280;922899;15872
2021-03-15;MOW;1001747;921424;15815
2021-03-14;MOW;1000394;920388;15764
2021-03-13;MOW;998489;919278;15709
2021-03-12;MOW;996889;917809;15657
2021-03-11;MOW;995279;916204;15601
2021-03-10;MOW;993998;914626;15547
2021-03-09;MOW;992882;913173;15496
2021-03-08;MOW;991816;912146;15447
2021-03-07;MOW;990395;911109;15394
2021-03-06;MOW;988861;909692;15347
2021-03-05;MOW;987041;907770;15297
2021-03-04;MOW;985284;905521;15243
2021-03-03;MOW;983134;903100;15192
2021-03-02;MOW;981850;901035;15146
2021-03-01;MOW;980573;899239;15097
2021-03-31;SPE;394631;347480;12270
2021-03-30;SPE;393916;346502;12233
2021-03-29;SPE;393197;345441;12197
2021-03-28;SPE;392500;344728;12167
2021-03-27;SPE;391799;343948;12134
2021-03-26;SPE;391050;342756;12102
2021-03-25;SPE;390268;341141;12066
2021-03-24;SPE;389464;339868;12029
2021-03-23;SPE;388657;339163;11994
2021-03-22;SPE;387845;337800;11952
2021-03-21;SPE;386980;337555;11917
2021-03-20;SPE;386099;337264;11880
2021-03-19;SPE;385200;336191;11844
2021-03-18;SPE;384279;334164;11806
2021-03-17;SPE;383361;332123;11773
2021-03-16;SPE;382434;331126;11743
2021-03-15;SPE;381518;329952;11701
2021-03-14;SPE;380585;329268;11656
2021-03-13;SPE;379648;328427;11619
